geometry,lat,lon,g_x,g_y,v,area_grid,area_grid_km,grid_pop,grid_avg_inc,pop_density_km
"POLYGON ((130188.38860847357 493770.7975624863, 130688.38860847357 493770.7975624863, 130688.38860847357 494270.7975624863, 130188.38860847357 494270.7975624863, 130188.38860847357 493770.7975624863))",493770.7975624863,130188.38860847357,0,40,40,250000.0,0.25,0.0,,0.0
"POLYGON ((130688.38860847357 493770.7975624863, 131188.3886084736 493770.7975624863, 131188.3886084736 494270.7975624863, 130688.38860847357 494270.7975624863, 130688.38860847357 493770.7975624863))",493770.7975624863,130688.38860847357,0,41,41,250000.00000000728,0.25000000000000727,0.0,,0.0
"POLYGON ((131188.3886084736 493770.7975624863, 131688.3886084736 493770.7975624863, 131688.3886084736 494270.7975624863, 131188.3886084736 494270.7975624863, 131188.3886084736 493770.7975624863))",493770.7975624863,131188.3886084736,0,42,42,250000.0,0.25,0.0,,0.0
"POLYGON ((131688.3886084736 493770.7975624863, 132188.3886084736 493770.7975624863, 132188.3886084736 494270.7975624863, 131688.3886084736 494270.7975624863, 131688.3886084736 493770.7975624863))",493770.7975624863,131688.3886084736,0,43,43,250000.0,0.25,0.0,,0.0
"POLYGON ((132188.3886084736 493770.7975624863, 132688.3886084736 493770.7975624863, 132688.3886084736 494270.7975624863, 132188.3886084736 494270.7975624863, 132188.3886084736 493770.7975624863))",493770.7975624863,132188.3886084736,0,44,44,250000.0,0.25,0.0,,0.0
"POLYGON ((132688.3886084736 493770.7975624863, 133188.3886084736 493770.7975624863, 133188.3886084736 494270.7975624863, 132688.3886084736 494270.7975624863, 132688.3886084736 493770.7975624863))",493770.7975624863,132688.3886084736,0,45,45,250000.0,0.25,0.0,,0.0
"POLYGON ((133188.3886084736 493770.7975624863, 133688.3886084736 493770.7975624863, 133688.3886084736 494270.7975624863, 133188.3886084736 494270.7975624863, 133188.3886084736 493770.7975624863))",493770.7975624863,133188.3886084736,0,46,46,250000.0,0.25,0.0,,0.0
"POLYGON ((110188.38860847357 493270.7975624863, 110688.38860847357 493270.7975624863, 110688.38860847357 493770.7975624863, 110188.38860847357 493770.7975624863, 110188.38860847357 493270.7975624863))",493270.7975624863,110188.38860847357,1,0,47,250000.0,0.25,0.0,,0.0
"POLYGON ((110688.38860847357 493270.7975624863, 111188.38860847357 493270.7975624863, 111188.38860847357 493770.7975624863, 110688.38860847357 493770.7975624863, 110688.38860847357 493270.7975624863))",493270.7975624863,110688.38860847357,1,1,48,250000.0,0.25,1.0,,4.0
"POLYGON ((111188.38860847357 493270.7975624863, 111688.38860847357 493270.7975624863, 111688.38860847357 493770.7975624863, 111188.38860847357 493770.7975624863, 111188.38860847357 493270.7975624863))",493270.7975624863,111188.38860847357,1,2,49,250000.0,0.25,1.0,,4.0
"POLYGON ((111688.38860847357 493270.7975624863, 112188.38860847357 493270.7975624863, 112188.38860847357 493770.7975624863, 111688.38860847357 493770.7975624863, 111688.38860847357 493270.7975624863))",493270.7975624863,111688.38860847357,1,3,50,250000.0,0.25,1.0,,4.0
"POLYGON ((112188.38860847357 493270.7975624863, 112688.38860847357 493270.7975624863, 112688.38860847357 493770.7975624863, 112188.38860847357 493770.7975624863, 112188.38860847357 493270.7975624863))",493270.7975624863,112188.38860847357,1,4,51,250000.0,0.25,1.0,,4.0
"POLYGON ((112688.38860847357 493270.7975624863, 113188.38860847357 493270.7975624863, 113188.38860847357 493770.7975624863, 112688.38860847357 493770.7975624863, 112688.38860847357 493270.7975624863))",493270.7975624863,112688.38860847357,1,5,52,250000.0,0.25,1.0,,4.0
"POLYGON ((113188.38860847357 493270.7975624863, 113688.38860847357 493270.7975624863, 113688.38860847357 493770.7975624863, 113188.38860847357 493770.7975624863, 113188.38860847357 493270.7975624863))",493270.7975624863,113188.38860847357,1,6,53,250000.0,0.25,1.0,,4.0
"POLYGON ((113688.38860847357 493270.7975624863, 114188.38860847357 493270.7975624863, 114188.38860847357 493770.7975624863, 113688.38860847357 493770.7975624863, 113688.38860847357 493270.7975624863))",493270.7975624863,113688.38860847357,1,7,54,250000.0,0.25,0.0,,0.0
"POLYGON ((114188.38860847357 493270.7975624863, 114688.38860847357 493270.7975624863, 114688.38860847357 493770.7975624863, 114188.38860847357 493770.7975624863, 114188.38860847357 493270.7975624863))",493270.7975624863,114188.38860847357,1,8,55,250000.0,0.25,0.0,,0.0
"POLYGON ((114688.38860847357 493270.7975624863, 115188.38860847357 493270.7975624863, 115188.38860847357 493770.7975624863, 114688.38860847357 493770.7975624863, 114688.38860847357 493270.7975624863))",493270.7975624863,114688.38860847357,1,9,56,250000.0,0.25,0.0,,0.0
"POLYGON ((115188.38860847357 493270.7975624863, 115688.38860847357 493270.7975624863, 115688.38860847357 493770.7975624863, 115188.38860847357 493770.7975624863, 115188.38860847357 493270.7975624863))",493270.7975624863,115188.38860847357,1,10,57,250000.0,0.25,0.0,,0.0
"POLYGON ((115688.38860847357 493270.7975624863, 116188.38860847357 493270.7975624863, 116188.38860847357 493770.7975624863, 115688.38860847357 493770.7975624863, 115688.38860847357 493270.7975624863))",493270.7975624863,115688.38860847357,1,11,58,250000.0,0.25,0.0,,0.0
"POLYGON ((116188.38860847357 493270.7975624863, 116688.38860847357 493270.7975624863, 116688.38860847357 493770.7975624863, 116188.38860847357 493770.7975624863, 116188.38860847357 493270.7975624863))",493270.7975624863,116188.38860847357,1,12,59,250000.0,0.25,0.0,,0.0
"POLYGON ((116688.38860847357 493270.7975624863, 117188.38860847357 493270.7975624863, 117188.38860847357 493770.7975624863, 116688.38860847357 493770.7975624863, 116688.38860847357 493270.7975624863))",493270.7975624863,116688.38860847357,1,13,60,250000.0,0.25,0.0,,0.0
